,Country,Region,Happiness Rank,Happiness Score,Economy,Health,Freedom,Trust,Generosity,year
454,Angola,Sub-Saharan Africa,140.0,3.79500007629395,0.858428180217743,0.0498686656355858,0.0,0.0697203353047371,0.097926490008831,2017.0
455,Afghanistan,South Asia,141.0,3.79399991035461,0.401477217674255,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2017.0
456,Botswana,Sub-Saharan Africa,142.0,3.76600003242493,1.12209415435791,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,2017.0
457,Benin,Sub-Saharan Africa,143.0,3.65700006484985,0.431085407733917,0.209930211305618,0.425962775945663,0.0609290152788162,0.207948461174965,2017.0
458,Madagascar,Sub-Saharan Africa,144.0,3.64400005340576,0.305808693170547,0.375223308801651,0.189196765422821,0.0672319754958153,0.208732530474663,2017.0
459,Haiti,Latin America and Caribbean,145.0,3.6029999256134,0.368610262870789,0.277321130037308,0.0303698573261499,0.0998721495270729,0.489203780889511,2017.0
460,Yemen,Middle East and North Africa,146.0,3.59299993515015,0.591683447360992,0.310080915689468,0.249463722109795,0.0567674227058887,0.104125209152699,2017.0
461,South Sudan,Sub-Saharan Africa,147.0,3.59100008010864,0.39724862575531,0.163486003875732,0.147062435746193,0.116793513298035,0.285670816898346,2017.0
462,Liberia,Sub-Saharan Africa,148.0,3.53299999237061,0.119041793048382,0.229918196797371,0.332881182432175,0.0389482490718365,0.26654988527298,2017.0
463,Guinea,Sub-Saharan Africa,149.0,3.50699996948242,0.244549930095673,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792,2017.0
464,Togo,Sub-Saharan Africa,150.0,3.49499988555908,0.305444717407227,0.247105568647385,0.38042613863945,0.0956650152802467,0.196896150708199,2017.0
465,Rwanda,Sub-Saharan Africa,151.0,3.47099995613098,0.368745893239975,0.326424807310104,0.581843852996826,0.455220013856888,0.252756029367447,2017.0
466,Syria,Middle East and North Africa,152.0,3.46199989318848,0.777153134346008,0.50053334236145,0.0815394446253777,0.151347130537033,0.493663728237152,2017.0
467,Tanzania,Sub-Saharan Africa,153.0,3.34899997711182,0.511135876178741,0.364509284496307,0.390017777681351,0.0660351067781448,0.354256361722946,2017.0
468,Burundi,Sub-Saharan Africa,154.0,2.90499997138977,0.091622568666935,0.151610791683197,0.0599007532000542,0.0841479450464249,0.204435184597969,2017.0
469,Central African Republic,Sub-Saharan Africa,155.0,2.69300007820129,0.0,0.0187726859003305,0.270842045545578,0.0565650761127472,0.280876487493515,2017.0
470,Finland,Western Europe,1.0,7.632,1.305,0.874,1.362,0.393,1.794,2018.0
471,Norway,Western Europe,2.0,7.594,1.456,0.861,1.372,0.34,1.868,2018.0
472,Denmark,Western Europe,3.0,7.555,1.351,0.868,1.366,0.408,1.874,2018.0
473,Iceland,Western Europe,4.0,7.495,1.343,0.914,1.354,0.138,1.9969999999999999,2018.0
474,Switzerland,Western Europe,5.0,7.487,1.42,0.927,1.32,0.357,1.805,2018.0
475,Netherlands,Western Europe,6.0,7.441,1.361,0.878,1.276,0.295,1.821,2018.0
476,Canada,North America,7.0,7.328,1.33,0.896,1.306,0.291,1.853,2018.0
477,New Zealand,Oceania,8.0,7.324,1.268,0.876,1.338,0.389,1.966,2018.0
478,Sweden,Western Europe,9.0,7.314,1.355,0.913,1.318,0.383,1.7859999999999998,2018.0
479,Australia,Oceania,10.0,7.272,1.34,0.91,1.294,0.302,1.934,2018.0
480,United Kingdom,Western Europe,11.0,7.19,1.244,0.888,0.928,0.082,1.695,2018.0
481,Austria,Western Europe,12.0,7.139,1.341,0.891,1.234,0.224,1.746,2018.0
482,Costa Rica,Latin America and Caribbean,13.0,7.072,1.01,0.817,1.264,0.101,1.602,2018.0
483,Ireland,Western Europe,14.0,6.977,1.448,0.876,1.228,0.306,1.89,2018.0
484,Germany,Western Europe,15.0,6.965,1.34,0.861,1.172,0.28,1.7469999999999999,2018.0
485,Belgium,Western Europe,16.0,6.927,1.324,0.894,1.166,0.24,1.671,2018.0
486,Luxembourg,Western Europe,17.0,6.91,1.576,0.896,1.264,0.321,1.716,2018.0
487,United States,North America,18.0,6.886,1.398,0.819,1.094,0.133,1.762,2018.0
488,Israel,Middle East and North Africa,19.0,6.814,1.301,0.883,1.066,0.272,1.9129999999999998,2018.0
489,United Arab Emirates,Middle East and North Africa,20.0,6.774,2.096,0.67,0.568,0.0,0.962,2018.0
490,Czechia,Central and Eastern Europe,21.0,6.711,1.233,0.854,1.086,0.034,1.5530000000000002,2018.0
491,Malta,Western Europe,22.0,6.627,1.27,0.884,1.29,0.142,1.9009999999999998,2018.0
492,France,Western Europe,23.0,6.489,1.293,0.908,1.04,0.176,1.564,2018.0
493,Mexico,Latin America and Caribbean,24.0,6.488,1.038,0.761,0.958,0.095,1.321,2018.0
494,Chile,Latin America and Caribbean,25.0,6.476,1.131,0.808,0.862,0.061,1.528,2018.0
495,Taiwan,East Asia,26.0,6.441,1.365,0.857,0.836,0.078,1.587,2018.0
496,Panama,Latin America and Caribbean,27.0,6.43,1.112,0.759,1.194,0.063,1.563,2018.0
497,Brazil,Latin America and Caribbean,28.0,6.419,0.986,0.675,0.986,0.088,1.584,2018.0
498,Argentina,Latin America and Caribbean,29.0,6.388,1.073,0.744,1.14,0.054,1.53,2018.0
499,Guatemala,Latin America and Caribbean,30.0,6.382,0.781,0.608,1.208,0.071,1.447,2018.0
500,Uruguay,Latin America and Caribbean,31.0,6.379,1.093,0.771,1.25,0.155,1.589,2018.0
501,Qatar,Middle East and North Africa,32.0,6.374,1.649,0.748,1.308,0.171,1.559,2018.0
502,Saudi Arabia,Middle East and North Africa,33.0,6.371,1.379,0.633,1.018,0.127,1.429,2018.0
503,Singapore,Southeast Asia,34.0,6.343,1.529,1.008,1.262,0.457,1.7120000000000002,2018.0
504,Malaysia,Southeast Asia,35.0,6.322,1.161,0.669,0.712,0.059,1.569,2018.0
505,Spain,Western Europe,36.0,6.31,1.251,0.965,0.898,0.074,1.68,2018.0
506,Colombia,Latin America and Caribbean,37.0,6.26,0.96,0.635,1.062,0.039,1.538,2018.0
507,Trinidad and Tobago,Latin America and Caribbean,38.0,6.192,1.223,0.564,1.15,0.019,1.663,2018.0
508,Slovakia,Central and Eastern Europe,39.0,6.173,1.21,0.776,0.708,0.014,1.6549999999999998,2018.0
509,El Salvador,Latin America and Caribbean,40.0,6.167,0.806,0.639,0.922,0.082,1.296,2018.0
510,Nicaragua,Latin America and Caribbean,41.0,6.141,0.668,0.7,1.054,0.128,1.527,2018.0
511,Poland,Central and Eastern Europe,42.0,6.123,1.176,0.781,1.092,0.064,1.556,2018.0
512,Bahrain,Middle East and North Africa,43.0,6.105,1.338,0.698,1.188,0.123,1.609,2018.0
513,Uzbekistan,Commonwealth of Independent States,44.0,6.096,0.719,0.605,1.448,0.259,1.9120000000000001,2018.0
514,Kuwait,Middle East and North Africa,45.0,6.083,1.474,0.675,1.108,0.106,1.468,2018.0
515,Thailand,Southeast Asia,46.0,6.072,1.016,0.707,1.274,0.029,1.7810000000000001,2018.0
516,Italy,Western Europe,47.0,6.0,1.264,0.946,0.562,0.028,1.638,2018.0
517,Ecuador,Latin America and Caribbean,48.0,5.973,0.889,0.736,1.112,0.12,1.4440000000000002,2018.0
518,Belize,Latin America and Caribbean,49.0,5.956,0.807,0.474,1.186,0.089,1.284,2018.0
519,Lithuania,Central and Eastern Europe,50.0,5.952,1.197,0.716,0.7,0.006,1.553,2018.0
520,Slovenia,Central and Eastern Europe,51.0,5.948,1.219,0.856,1.266,0.051,1.666,2018.0
521,Romania,Central and Eastern Europe,52.0,5.945,1.116,0.726,1.056,0.001,1.3070000000000002,2018.0
522,Latvia,Central and Eastern Europe,53.0,5.933,1.148,0.671,0.726,0.066,1.546,2018.0
523,Japan,East Asia,54.0,5.915,1.294,0.988,1.106,0.15,1.541,2018.0
524,Mauritius,Sub-Saharan Africa,55.0,5.891,1.09,0.684,1.168,0.05,1.6320000000000001,2018.0
525,Jamaica,Latin America and Caribbean,56.0,5.89,0.819,0.693,1.15,0.031,1.5890000000000002,2018.0
526,South Korea,East Asia,57.0,5.875,1.266,0.955,0.488,0.051,1.379,2018.0
527,Northern Cyprus,Western Europe,58.0,5.835,1.229,0.909,0.99,0.154,1.3900000000000001,2018.0
528,Russia,Commonwealth of Independent States,59.0,5.81,1.151,0.599,0.798,0.025,1.544,2018.0
529,Kazakhstan,Commonwealth of Independent States,60.0,5.79,1.143,0.631,0.908,0.121,1.664,2018.0
530,Cyprus,Western Europe,61.0,5.762,1.229,0.909,0.846,0.035,1.393,2018.0
531,Bolivia,Latin America and Caribbean,62.0,5.752,0.751,0.508,1.212,0.054,1.364,2018.0
532,Estonia,Central and Eastern Europe,63.0,5.739,1.2,0.737,1.106,0.174,1.618,2018.0
533,Paraguay,Latin America and Caribbean,64.0,5.681,0.835,0.615,1.082,0.074,1.684,2018.0
534,Peru,Latin America and Caribbean,65.0,5.663,0.934,0.674,1.06,0.034,1.3410000000000002,2018.0
535,Kosovo,Central and Eastern Europe,66.0,5.662,0.855,0.578,0.896,0.023,1.504,2018.0
536,Moldova,Commonwealth of Independent States,67.0,5.64,0.657,0.62,0.464,0.0,1.472,2018.0
537,Turkmenistan,Commonwealth of Independent States,68.0,5.636,1.016,0.517,0.834,0.037,1.732,2018.0
538,Hungary,Central and Eastern Europe,69.0,5.62,1.171,0.732,0.518,0.022,1.462,2018.0
539,Libya,Middle East and North Africa,70.0,5.566,0.985,0.553,0.992,0.148,1.4660000000000002,2018.0
540,Philippines,Southeast Asia,71.0,5.524,0.775,0.513,1.286,0.105,1.432,2018.0
541,Honduras,Latin America and Caribbean,72.0,5.504,0.62,0.622,0.918,0.074,1.4020000000000001,2018.0
542,Belarus,Commonwealth of Independent States,73.0,5.483,1.039,0.7,0.614,0.154,1.599,2018.0
543,Turkey,Middle East and North Africa,74.0,5.483,1.148,0.686,0.648,0.109,1.486,2018.0
544,Pakistan,South Asia,75.0,5.472,0.652,0.424,0.668,0.113,1.026,2018.0
545,Hong Kong S.A.R. of China,East Asia,76.0,5.43,1.405,1.03,1.048,0.291,1.536,2018.0
546,Portugal,Western Europe,77.0,5.41,1.188,0.884,1.124,0.017,1.484,2018.0
547,Serbia,Central and Eastern Europe,78.0,5.398,0.975,0.685,0.576,0.043,1.5030000000000001,2018.0
548,Greece,Western Europe,79.0,5.358,1.154,0.879,0.262,0.044,1.202,2018.0
549,Lebanon,Middle East and North Africa,80.0,5.358,0.965,0.785,1.006,0.136,1.393,2018.0
550,Montenegro,Central and Eastern Europe,81.0,5.347,1.017,0.729,0.518,0.081,1.39,2018.0
551,Croatia,Central and Eastern Europe,82.0,5.321,1.115,0.737,0.76,0.039,1.2810000000000001,2018.0
552,Dominican Republic,Latin America and Caribbean,83.0,5.302,0.982,0.614,1.156,0.106,1.561,2018.0
553,Algeria,Middle East and North Africa,84.0,5.295,0.979,0.687,0.154,0.135,1.2089999999999999,2018.0
554,Morocco,Middle East and North Africa,85.0,5.254,0.779,0.669,0.92,0.074,0.8230000000000001,2018.0
555,China,East Asia,86.0,5.246,0.989,0.799,1.194,0.103,1.1709999999999998,2018.0
556,Azerbaijan,Commonwealth of Independent States,87.0,5.201,1.024,0.603,0.86,0.176,1.192,2018.0
557,Tajikistan,Commonwealth of Independent States,88.0,5.199,0.474,0.598,0.584,0.034,1.353,2018.0
558,North Macedonia,Central and Eastern Europe,89.0,5.185,0.959,0.691,0.788,0.052,1.4120000000000001,2018.0
559,Jordan,Middle East and North Africa,90.0,5.161,0.822,0.645,0.936,0.134,1.395,2018.0
560,Nigeria,Sub-Saharan Africa,91.0,5.155,0.689,0.048,0.924,0.032,1.373,2018.0
561,Kyrgyzstan,Commonwealth of Independent States,92.0,5.131,0.53,0.594,1.08,0.035,1.697,2018.0
562,Bosnia and Herzegovina,Central and Eastern Europe,93.0,5.129,0.915,0.758,0.56,0.0,1.294,2018.0
563,Mongolia,East Asia,94.0,5.125,0.914,0.575,0.79,0.032,1.77,2018.0
564,Vietnam,Southeast Asia,95.0,5.103,0.715,0.702,1.236,0.079,1.542,2018.0
565,Indonesia,Southeast Asia,96.0,5.093,0.899,0.522,1.076,0.018,1.699,2018.0
566,Bhutan,South Asia,97.0,5.082,0.796,0.527,1.082,0.171,1.6989999999999998,2018.0
567,Somalia,Sub-Saharan Africa,98.0,4.982,0.0,0.115,1.348,0.282,0.95,2018.0
568,Cameroon,Sub-Saharan Africa,99.0,4.975,0.535,0.182,0.908,0.043,1.074,2018.0
569,Bulgaria,Central and Eastern Europe,100.0,4.933,1.054,0.712,0.718,0.009,1.579,2018.0
570,Nepal,South Asia,101.0,4.88,0.425,0.539,1.052,0.078,1.53,2018.0
571,Venezuela,Latin America and Caribbean,102.0,4.806,0.996,0.657,0.266,0.052,1.5250000000000001,2018.0
572,Gabon,Sub-Saharan Africa,103.0,4.758,1.036,0.404,0.712,0.052,1.196,2018.0
573,Palestinian Territories,Middle East and North Africa,104.0,4.743,0.642,0.602,0.532,0.076,1.3030000000000002,2018.0
574,South Africa,Sub-Saharan Africa,105.0,4.724,0.94,0.33,1.032,0.056,1.513,2018.0
575,Iran,Middle East and North Africa,106.0,4.707,1.059,0.691,0.918,0.129,1.053,2018.0
576,Ivory Coast,Sub-Saharan Africa,107.0,4.671,0.541,0.08,0.934,0.103,1.018,2018.0
577,Ghana,Sub-Saharan Africa,108.0,4.657,0.592,0.337,0.998,0.029,1.108,2018.0
578,Senegal,Sub-Saharan Africa,109.0,4.631,0.429,0.433,0.812,0.082,1.255,2018.0
579,Laos,Southeast Asia,110.0,4.623,0.72,0.441,1.252,0.174,1.264,2018.0
580,Tunisia,Middle East and North Africa,111.0,4.592,0.9,0.69,0.542,0.063,0.9460000000000001,2018.0
581,Albania,Central and Eastern Europe,112.0,4.586,0.916,0.79,0.838,0.032,0.966,2018.0
582,Sierra Leone,Sub-Saharan Africa,113.0,4.571,0.256,0.0,0.71,0.053,1.051,2018.0
583,Congo (Brazzaville),Sub-Saharan Africa,114.0,4.559,0.682,0.343,1.028,0.077,0.902,2018.0
584,Bangladesh,South Asia,115.0,4.5,0.532,0.579,1.16,0.144,1.003,2018.0
585,Sri Lanka,South Asia,116.0,4.471,0.918,0.672,1.17,0.05,1.621,2018.0
586,Iraq,Middle East and North Africa,117.0,4.456,1.01,0.536,0.608,0.095,1.119,2018.0
587,Mali,Sub-Saharan Africa,118.0,4.447,0.37,0.152,0.734,0.056,1.372,2018.0
588,Namibia,Sub-Saharan Africa,119.0,4.441,0.874,0.365,1.038,0.064,1.3319999999999999,2018.0
589,Cambodia,Southeast Asia,120.0,4.433,0.549,0.457,1.392,0.065,1.344,2018.0
590,Burkina Faso,Sub-Saharan Africa,121.0,4.424,0.314,0.254,0.624,0.128,1.272,2018.0
591,Egypt,Middle East and North Africa,122.0,4.419,0.885,0.553,0.624,0.107,1.117,2018.0
592,Mozambique,Sub-Saharan Africa,123.0,4.417,0.198,0.173,1.062,0.158,1.108,2018.0
593,Kenya,Sub-Saharan Africa,124.0,4.41,0.493,0.454,1.008,0.055,1.4,2018.0
594,Zambia,Sub-Saharan Africa,125.0,4.377,0.562,0.295,1.006,0.082,1.268,2018.0
595,Mauritania,Sub-Saharan Africa,126.0,4.356,0.557,0.292,0.258,0.093,1.379,2018.0
596,Ethiopia,Sub-Saharan Africa,127.0,4.35,0.308,0.391,0.904,0.146,1.17,2018.0
597,Georgia,Commonwealth of Independent States,128.0,4.34,0.853,0.643,0.75,0.215,0.63,2018.0
598,Armenia,Commonwealth of Independent States,129.0,4.321,0.816,0.666,0.52,0.028,1.067,2018.0
599,Myanmar,Southeast Asia,130.0,4.308,0.682,0.429,1.16,0.178,1.7719999999999998,2018.0
600,Chad,Sub-Saharan Africa,131.0,4.301,0.358,0.053,0.378,0.06,1.088,2018.0
601,Congo (Kinshasa),Sub-Saharan Africa,132.0,4.245,0.069,0.204,0.624,0.052,1.333,2018.0
602,India,South Asia,133.0,4.19,0.721,0.485,1.078,0.093,0.919,2018.0
603,Niger,Sub-Saharan Africa,134.0,4.166,0.131,0.221,0.78,0.099,1.042,2018.0
604,Uganda,Sub-Saharan Africa,135.0,4.161,0.322,0.237,0.9,0.061,1.3490000000000002,2018.0
605,Benin,Sub-Saharan Africa,136.0,4.141,0.378,0.24,0.88,0.067,0.535,2018.0
606,Sudan,Sub-Saharan Africa,137.0,4.139,0.605,0.312,0.032,0.082,1.374,2018.0
607,Ukraine,Commonwealth of Independent States,138.0,4.103,0.793,0.609,0.326,0.011,1.6,2018.0
608,Togo,Sub-Saharan Africa,139.0,3.999,0.259,0.253,0.868,0.101,0.632,2018.0
609,Guinea,Sub-Saharan Africa,140.0,3.964,0.344,0.211,0.788,0.094,0.9770000000000001,2018.0
610,Lesotho,Sub-Saharan Africa,141.0,3.808,0.472,0.079,0.846,0.112,1.3310000000000002,2018.0
611,Angola,Sub-Saharan Africa,142.0,3.795,0.73,0.269,0.0,0.061,1.204,2018.0
612,Madagascar,Sub-Saharan Africa,143.0,3.774,0.262,0.402,0.442,0.049,1.063,2018.0
613,Zimbabwe,Sub-Saharan Africa,144.0,3.692,0.357,0.248,0.812,0.099,1.226,2018.0
614,Afghanistan,South Asia,145.0,3.632,0.332,0.255,0.17,0.036,0.728,2018.0
615,Botswana,Sub-Saharan Africa,146.0,3.59,1.017,0.417,1.114,0.092,1.216,2018.0
616,Malawi,Sub-Saharan Africa,147.0,3.587,0.186,0.306,1.062,0.08,0.751,2018.0
617,Haiti,Latin America and Caribbean,148.0,3.582,0.315,0.289,0.05,0.104,1.1059999999999999,2018.0
618,Liberia,Sub-Saharan Africa,149.0,3.495,0.076,0.267,0.838,0.03,1.064,2018.0
619,Syria,Middle East and North Africa,150.0,3.462,0.689,0.539,0.176,0.144,0.758,2018.0
620,Rwanda,Sub-Saharan Africa,151.0,3.408,0.332,0.4,1.272,0.444,1.096,2018.0
621,Yemen,Middle East and North Africa,152.0,3.355,0.442,0.343,0.488,0.064,1.156,2018.0
622,Tanzania,Sub-Saharan Africa,153.0,3.303,0.455,0.381,0.962,0.097,1.2610000000000001,2018.0
623,South Sudan,Sub-Saharan Africa,154.0,3.254,0.337,0.177,0.224,0.106,0.832,2018.0
624,Central African Republic,Sub-Saharan Africa,155.0,3.083,0.024,0.01,0.61,0.038,0.218,2018.0
625,Burundi,Sub-Saharan Africa,156.0,2.905,0.091,0.145,0.13,0.076,0.776,2018.0
626,Finland,Western Europe,1.0,7.769,1.34,0.986,1.192,0.393,1.74,2019.0
627,Denmark,Western Europe,2.0,7.6,1.383,0.996,1.184,0.41,1.825,2019.0
628,Norway,Western Europe,3.0,7.554,1.488,1.028,1.206,0.341,1.8530000000000002,2019.0
629,Iceland,Western Europe,4.0,7.494,1.38,1.026,1.182,0.118,1.9780000000000002,2019.0
630,Netherlands,Western Europe,5.0,7.488,1.396,0.999,1.114,0.298,1.844,2019.0
631,Switzerland,Western Europe,6.0,7.48,1.452,1.052,1.144,0.343,1.7890000000000001,2019.0
632,Sweden,Western Europe,7.0,7.343,1.387,1.009,1.148,0.373,1.754,2019.0
633,New Zealand,Oceania,8.0,7.307,1.303,1.026,1.17,0.38,1.887,2019.0
634,Canada,North America,9.0,7.278,1.365,1.039,1.168,0.308,1.7899999999999998,2019.0
635,Austria,Western Europe,10.0,7.246,1.376,1.016,1.064,0.226,1.719,2019.0
636,Australia,Oceania,11.0,7.228,1.372,1.036,1.114,0.29,1.8800000000000001,2019.0
637,Costa Rica,Latin America and Caribbean,12.0,7.167,1.034,0.963,1.116,0.093,1.585,2019.0
638,Israel,Middle East and North Africa,13.0,7.139,1.276,1.029,0.742,0.082,1.7160000000000002,2019.0
639,Luxembourg,Western Europe,14.0,7.09,1.609,1.012,1.052,0.316,1.673,2019.0
640,United Kingdom,Western Europe,15.0,7.054,1.333,0.996,0.9,0.278,1.8860000000000001,2019.0
641,Ireland,Western Europe,16.0,7.021,1.499,0.999,1.032,0.31,1.851,2019.0
642,Germany,Western Europe,17.0,6.985,1.373,0.987,0.99,0.265,1.7149999999999999,2019.0
643,Belgium,Western Europe,18.0,6.923,1.356,0.986,0.946,0.21,1.664,2019.0
644,United States,North America,19.0,6.892,1.433,0.874,0.908,0.128,1.737,2019.0
645,Czechia,Central and Eastern Europe,20.0,6.852,1.269,0.92,0.914,0.036,1.5330000000000001,2019.0
646,United Arab Emirates,Middle East and North Africa,21.0,6.825,1.503,0.825,1.196,0.182,1.572,2019.0
647,Malta,Western Europe,22.0,6.726,1.3,0.999,1.128,0.151,1.895,2019.0
648,Mexico,Latin America and Caribbean,23.0,6.595,1.07,0.861,0.866,0.073,1.397,2019.0
649,France,Western Europe,24.0,6.592,1.324,1.045,0.872,0.183,1.583,2019.0
650,Taiwan,East Asia,25.0,6.446,1.368,0.914,0.702,0.097,1.672,2019.0
651,Chile,Latin America and Caribbean,26.0,6.444,1.159,0.92,0.714,0.056,1.556,2019.0
652,Guatemala,Latin America and Caribbean,27.0,6.436,0.8,0.746,1.07,0.078,1.444,2019.0
653,Saudi Arabia,Middle East and North Africa,28.0,6.375,1.403,0.795,0.878,0.132,1.437,2019.0
654,Qatar,Middle East and North Africa,29.0,6.374,1.684,0.871,1.11,0.167,1.533,2019.0
655,Spain,Western Europe,30.0,6.354,1.286,1.062,0.724,0.079,1.637,2019.0
656,Panama,Latin America and Caribbean,31.0,6.321,1.149,0.91,1.032,0.054,1.551,2019.0
657,Brazil,Latin America and Caribbean,32.0,6.3,1.004,0.802,0.78,0.086,1.538,2019.0
658,Uruguay,Latin America and Caribbean,33.0,6.293,1.124,0.891,1.046,0.15,1.592,2019.0
659,Singapore,Southeast Asia,34.0,6.262,1.572,1.141,1.112,0.453,1.734,2019.0
660,El Salvador,Latin America and Caribbean,35.0,6.253,0.794,0.789,0.86,0.074,1.335,2019.0
661,Italy,Western Europe,36.0,6.223,1.294,1.039,0.462,0.03,1.646,2019.0
662,Bahrain,Middle East and North Africa,37.0,6.199,1.362,0.871,1.072,0.11,1.6230000000000002,2019.0
663,Slovakia,Central and Eastern Europe,38.0,6.198,1.246,0.881,0.668,0.014,1.625,2019.0
664,Trinidad and Tobago,Latin America and Caribbean,39.0,6.192,1.231,0.713,0.978,0.016,1.6620000000000001,2019.0
665,Poland,Central and Eastern Europe,40.0,6.182,1.206,0.884,0.966,0.05,1.555,2019.0
666,Uzbekistan,Commonwealth of Independent States,41.0,6.174,0.745,0.756,1.262,0.24,1.851,2019.0
667,Lithuania,Central and Eastern Europe,42.0,6.149,1.238,0.818,0.582,0.042,1.5579999999999998,2019.0
668,Colombia,Latin America and Caribbean,43.0,6.125,0.985,0.841,0.94,0.034,1.509,2019.0
669,Slovenia,Central and Eastern Europe,44.0,6.118,1.258,0.953,1.128,0.057,1.6669999999999998,2019.0
670,Nicaragua,Latin America and Caribbean,45.0,6.105,0.694,0.835,0.87,0.127,1.525,2019.0
671,Kosovo,Central and Eastern Europe,46.0,6.1,0.882,0.758,0.978,0.006,1.494,2019.0
672,Argentina,Latin America and Caribbean,47.0,6.086,1.092,0.881,0.942,0.05,1.498,2019.0
673,Romania,Central and Eastern Europe,48.0,6.07,1.162,0.825,0.924,0.005,1.315,2019.0
674,Cyprus,Western Europe,49.0,6.046,1.263,1.042,0.812,0.041,1.413,2019.0
675,Ecuador,Latin America and Caribbean,50.0,6.028,0.912,0.868,0.996,0.087,1.4380000000000002,2019.0
676,Kuwait,Middle East and North Africa,51.0,6.021,1.5,0.808,0.986,0.097,1.4609999999999999,2019.0
677,Thailand,Southeast Asia,52.0,6.008,1.05,0.828,1.114,0.028,1.768,2019.0
678,Latvia,Central and Eastern Europe,53.0,5.94,1.187,0.812,0.528,0.064,1.54,2019.0
679,South Korea,East Asia,54.0,5.895,1.301,1.036,0.318,0.056,1.3940000000000001,2019.0
680,Estonia,Central and Eastern Europe,55.0,5.893,1.237,0.874,0.99,0.161,1.631,2019.0
681,Jamaica,Latin America and Caribbean,56.0,5.89,0.831,0.831,0.98,0.028,1.585,2019.0
682,Mauritius,Sub-Saharan Africa,57.0,5.888,1.12,0.798,0.996,0.06,1.617,2019.0
683,Japan,East Asia,58.0,5.886,1.327,1.088,0.89,0.14,1.488,2019.0
684,Honduras,Latin America and Caribbean,59.0,5.86,0.642,0.828,1.014,0.078,1.482,2019.0
685,Kazakhstan,Commonwealth of Independent States,60.0,5.809,1.173,0.729,0.82,0.096,1.654,2019.0
686,Bolivia,Latin America and Caribbean,61.0,5.779,0.776,0.706,1.022,0.064,1.346,2019.0
687,Hungary,Central and Eastern Europe,62.0,5.758,1.201,0.828,0.398,0.02,1.4909999999999999,2019.0
688,Paraguay,Latin America and Caribbean,63.0,5.743,0.855,0.777,1.028,0.08,1.659,2019.0
689,Northern Cyprus,Western Europe,64.0,5.718,1.263,1.042,0.834,0.162,1.443,2019.0
690,Peru,Latin America and Caribbean,65.0,5.697,0.96,0.854,0.91,0.027,1.357,2019.0
691,Portugal,Western Europe,66.0,5.693,1.221,0.999,1.016,0.025,1.478,2019.0
692,Pakistan,South Asia,67.0,5.653,0.677,0.535,0.626,0.098,1.106,2019.0
693,Russia,Commonwealth of Independent States,68.0,5.648,1.183,0.726,0.668,0.031,1.534,2019.0
694,Philippines,Southeast Asia,69.0,5.631,0.807,0.657,1.116,0.107,1.41,2019.0
695,Serbia,Central and Eastern Europe,70.0,5.603,1.004,0.854,0.564,0.039,1.52,2019.0
696,Moldova,Commonwealth of Independent States,71.0,5.529,0.685,0.739,0.49,0.0,1.5090000000000001,2019.0
697,Libya,Middle East and North Africa,72.0,5.525,1.044,0.673,0.832,0.152,1.436,2019.0
698,Montenegro,Central and Eastern Europe,73.0,5.523,1.051,0.871,0.394,0.08,1.503,2019.0
699,Tajikistan,Commonwealth of Independent States,74.0,5.467,0.493,0.718,0.778,0.144,1.328,2019.0
700,Croatia,Central and Eastern Europe,75.0,5.432,1.155,0.914,0.592,0.022,1.385,2019.0
701,Hong Kong S.A.R. of China,East Asia,76.0,5.43,1.438,1.122,0.88,0.287,1.535,2019.0
702,Dominican Republic,Latin America and Caribbean,77.0,5.425,1.015,0.779,0.994,0.101,1.514,2019.0
703,Bosnia and Herzegovina,Central and Eastern Europe,78.0,5.386,0.945,0.845,0.424,0.006,1.475,2019.0
704,Turkey,Middle East and North Africa,79.0,5.373,1.183,0.808,0.39,0.106,1.443,2019.0
705,Malaysia,Southeast Asia,80.0,5.339,1.221,0.828,1.016,0.024,1.431,2019.0
706,Belarus,Commonwealth of Independent States,81.0,5.323,1.067,0.789,0.47,0.142,1.5590000000000002,2019.0
707,Greece,Western Europe,82.0,5.287,1.181,0.999,0.134,0.034,1.156,2019.0
708,Mongolia,East Asia,83.0,5.285,0.948,0.667,0.634,0.038,1.766,2019.0
709,North Macedonia,Central and Eastern Europe,84.0,5.274,0.983,0.838,0.69,0.034,1.479,2019.0
710,Nigeria,Sub-Saharan Africa,85.0,5.265,0.696,0.245,0.852,0.041,1.326,2019.0
711,Kyrgyzstan,Commonwealth of Independent States,86.0,5.261,0.551,0.723,1.016,0.023,1.738,2019.0
712,Turkmenistan,Commonwealth of Independent States,87.0,5.247,1.052,0.657,0.788,0.028,1.782,2019.0
713,Algeria,Middle East and North Africa,88.0,5.211,1.002,0.785,0.172,0.114,1.2329999999999999,2019.0
714,Morocco,Middle East and North Africa,89.0,5.208,0.801,0.782,0.836,0.076,0.8180000000000001,2019.0
715,Azerbaijan,Commonwealth of Independent States,90.0,5.208,1.043,0.769,0.702,0.182,1.182,2019.0
716,Lebanon,Middle East and North Africa,91.0,5.197,0.987,0.815,0.432,0.027,1.39,2019.0
717,Indonesia,Southeast Asia,92.0,5.192,0.931,0.66,0.982,0.028,1.701,2019.0
